_id,Forward_Sortation_Area,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
1,M6R,CHLOE,BEAGLE MIX,TAN / WHITE,04,Parkdale-High Park,VERY SEVERE,PUBLIC PROPERTY,2017-03-09
2,M3M,OSO,AKITA,WHITE / BLACK,06,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,2017-03-11
3,M4N,HOBBES,CANE CORSO / LABRADOR RETR,BR BRINDLE,15,Don Valley West,SEVERE,OWNERS PROPERTY,2017-03-18
4,M9W,HUNTER,GOLDEN RETR,GOLD,01,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2017-03-23
5,M1E,LILA,GERM SHEPHERD / AUST SHEPHERD,BLACK / TAN,25,Scarborough-Rouge Park,NON SEVERE,PARK - LEASH FREE AREA,2017-03-29
6,M3H,BRODY,ALASKAN HUSKY MIX,GREY / WHITE,06,York Centre,NON SEVERE,PARK - LEASH FREE AREA,2017-04-16
7,M6R,TANGO,AUST SHEPHERD,RED MERLE,04,Parkdale-High Park,NON SEVERE,PUBLIC PROPERTY,2017-04-19
8,M1B,LEO,ROTTWEILER / BORDER COLLIE,BLACK / BROWN,23,Scarborough North,NON SEVERE,PARK - LEASH REQUIRED AREA,2017-04-26
9,M2R,DASUL,JINDO,WHITE,18,Willowdale,NON SEVERE,OTHER PRIVATE PROPERTY,2017-06-21
10,M4B,BRANDY,AM PIT BULL TER,WHITE / TAN,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2017-06-24
11,M1W,TIGER,BOXER / AMER BULLDOG,BROWN / WHITE,22,Scarborough-Agincourt,SEVERE,PARK - LEASH REQUIRED AREA,2017-06-25
12,M4K,NEMO,SIBERIAN HUSKY,WHITE / GREY,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2017-08-02
13,M9A,ROCKY,GERM SHEPHERD MIX,BLACK / TAN,02,Etobicoke Centre,NON SEVERE,OWNERS PROPERTY,2017-09-29
14,M4J,MAX,GERM SHEPHERD,SABLE,14,Toronto-Danforth,NON SEVERE,PARK - LEASH FREE AREA,2017-10-02
15,M6N,MYA,ROTTWEILER,BLACK / TAN,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2017-10-24
16,M2N,ROSEY,ROTTWEILER,BLACK / TAN,18,Willowdale,SEVERE,OWNERS PROPERTY,2017-11-04
17,No FSA Info,DANNY,BELG MALINOIS MIX,BROWN / BLACK,,No Ward Info,NON SEVERE,OTHER PRIVATE PROPERTY,2018-02-11
18,M6N,CHINA,LABRADOR RETR / CHINESE SHARPEI,TAN / WHITE,09,Davenport,SEVERE,PARK - LEASH FREE AREA,2018-02-11
19,M4S,RONIN,ROTTWEILER,BLACK / TAN,12,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,2018-02-25
20,M6M,DUCHESS,ROTTWEILER / STAFFORDSHIRE,BROWN / BLACK,05,York South-Weston,SEVERE,OTHER PRIVATE PROPERTY,2018-03-24
21,M1G,MOOKI,AKBASH / GERM SHEPHERD,TAN,24,Scarborough-Guildwood,SEVERE,OTHER PRIVATE PROPERTY,2018-04-08
22,M1M,MAVIS,LABRADOR RETR / BORDER COLLIE,TRICOLOUR,20,Scarborough Southwest,SEVERE,PARK - LEASH FREE AREA,2018-04-18
23,M4C,TITAN,LABRADOR RETR / AMER BULLDOG,CHOCOLATE / WHITE,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2018-04-21
24,M8Y,GEORGE,GOLDEN RETR / POODLE STND,CREAM / WHITE,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2018-05-23
25,M6M,ROCKY,BICHON FRISE / POODLE MIN,WHITE,05,York South-Weston,NON SEVERE,OWNERS PROPERTY,2018-05-24
26,M1E,ROMULUS,RHOD RIDGEBACK / GERM SHEPHERD,TAN,24,Scarborough-Guildwood,VERY SEVERE,OTHER PRIVATE PROPERTY,2018-06-02
27,M6A,BEAU,LABRADOR RETR,BLACK,08,Eglinton-Lawrence,VERY SEVERE,OTHER PRIVATE PROPERTY,2018-07-09
28,M6E,THEODORE,PUG / BOSTON TERRIER,BLACK / WHITE,09,Davenport,NON SEVERE,OWNERS PROPERTY,2018-07-23
29,M1W,SADIE,BOXER / GERM SHEPHERD,TAN,22,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,2018-08-03
30,M1W,TORY,SHIH TZU,WHITE / GREY,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2018-08-14
31,M6A,PRINCE,LABRADOR RETR,BLACK,08,Eglinton-Lawrence,NON SEVERE,OWNERS PROPERTY,2018-08-15
32,M4B,TITAN,GERM SHEPHERD,BLACK / TAN,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2018-08-31
33,M2J,JAXSON,SIBERIAN HUSKY / GERM SHEPHERD,TAN / BLACK,17,Don Valley North,NAB,OTHER PRIVATE PROPERTY,2018-09-17
34,M4K,AIDEN,SC WHEAT TERR,WHITE,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2018-09-23
35,M8Y,DUTCH,MASTIFF / CANE CORSO,GREY / WHITE,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2018-10-29
36,M6M,TROUBLE,LABRADOR RETR,BLACK,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2018-11-02
37,M9N,PONGO,MIN PINSCHER MIX,BLACK / TAN,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2018-11-04
38,M4Y,ILA,BOXER / BULL TERRIER,FAWN,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2018-11-25
39,M9W,HUNTER,GERM SHEPHERD,BROWN / BLACK,01,Etobicoke North,SEVERE,PUBLIC PROPERTY,2019-01-18
40,M4K,BRUNO,ROTTWEILER / GERM SHEPHERD,BLACK / TAN,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2019-01-29
41,M4J,ELIE,GERM SHEPHERD,BROWN / BLACK,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2019-02-10
42,M3A,BELLA,AMER BULLDOG MIX,BROWN,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-03-31
43,M8Y,TONY,AMER BULLDOG,WHITE / BLACK,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2019-04-01
44,M8V,BARKLEY,BORDER COLLIE / GOLDEN RETR,BLACK / WHITE,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2019-04-22
45,M9P,MILO,YORKSHIRE TERR / POODLE MIN,GOLD,01,Etobicoke North,NON SEVERE,OTHER PRIVATE PROPERTY,2019-04-24
46,M6H,MR. BROWN,BOXER / LABRADOR RETR,BROWN / WHITE,09,Davenport,NON SEVERE,PUBLIC PROPERTY,2019-05-08
47,M4M,BELLA,AUST CATTLE DOG / LABRADOR RETR,GREY / BLACK,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2019-05-14
48,M2H,RONIN,GERM SHEPHERD,BLACK / RED,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2019-05-18
49,M1B,SCOOBY,MASTIFF MIX,BROWN / WHITE,25,Scarborough-Rouge Park,SEVERE,OTHER PRIVATE PROPERTY,2019-06-07
